연번,항목명,코드값,데이터변수명,코드값 설명
65.0,인터넷 이용목적_여가활동_1),1,TV 시청 및 라디오 청취,Y11_03_1_1
,,2,음악(노래) 듣기,
,,3,"이미지, 동영상, 영화 등 보기",
,,4,"게임(온라인게임, 게임 다운로드)",
,,5,"사진 및 동영상 촬영·공유(페이스북, 인스타그램, 밴드, 카카오스토리, X(트위터) 등)",
66.0,인터넷 이용목적_여가활동_2),1,TV 시청 및 라디오 청취,Y11_03_1_2
,,2,음악(노래) 듣기,
,,3,"이미지, 동영상, 영화 등 보기",
,,4,"게임(온라인게임, 게임 다운로드)",
,,5,"사진 및 동영상 촬영·공유(페이스북, 인스타그램, 밴드, 카카오스토리, X(트위터) 등)",
67.0,인터넷 이용목적_여가활동_3),1,TV 시청 및 라디오 청취,Y11_03_1_3
,,2,음악(노래) 듣기,
,,3,"이미지, 동영상, 영화 등 보기",
,,4,"게임(온라인게임, 게임 다운로드)",
