연번,항목명,코드값,데이터변수명,코드값 설명
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
29.0,가구 이용 가능  정보통신 서비스_4),1,Q4_4,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
30.0,가구 이용 가능  정보통신 서비스_5),1,Q4_5,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
31.0,가구 이용 가능  정보통신 서비스_6),1,Q4_6,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
32.0,가구 이용 가능  정보통신 서비스_7),1,Q4_7,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
