"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%)
"직업별",기타/무직,283446,52.2,58.9,35.9,32.4,29.4,31.3,44.2,11.6,0.0,4.0,283446,30.0,15.1,17.5,16.5,1.2,8.5,7.3,0.0,0.0,4.0,283446,31.1,46.8,29.3,26.5,12.7,25.4,19.5,4.8,0.0,4.0
"가구구성별",1인 가구,529269,39.1,53.9,50.1,34.8,28.6,38.8,26.3,10.0,1.2,17.1,529269,14.8,28.8,13.0,8.1,7.9,8.6,11.8,0.0,0.0,7.0,529269,30.6,45.1,39.4,19.6,13.4,18.9,14.7,2.7,0.0,15.6
"가구구성별",1세대 가구,1160601,62.6,62.6,39.3,33.6,17.8,34.9,19.3,13.9,7.4,8.7,1160601,21.3,26.4,14.8,10.7,1.1,10.1,3.6,5.9,3.5,2.6,1160601,41.9,49.0,25.4,21.4,6.6,25.0,11.0,8.1,5.5,6.1
"가구구성별",2세대 가구,1528196,45.6,18.4,43.8,48.2,39.5,28.3,32.6,19.0,11.1,13.5,1528196,15.4,9.5,15.7,18.8,5.6,7.6,13.0,6.3,3.7,4.4,1528196,29.5,15.3,28.3,35.8,22.2,16.5,22.5,15.3,7.3,7.4
"가구구성별",3세대 가구,82010,24.1,14.6,34.2,65.1,15.0,55.2,25.3,41.1,4.5,21.0,82010,19.5,10.0,24.8,0.0,0.0,25.5,0.0,20.2,0.0,0.0,82010,19.5,14.6,29.7,39.8,0.0,25.5,25.3,20.2,4.5,21.0
"가구구성별",4세대 이상 가구,16763,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,16763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16763,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
"가구소득별",2천만원 미만,393727,51.4,67.7,45.4,30.0,12.8,41.8,36.3,5.2,1.6,7.8,393727,26.9,33.3,11.8,8.8,4.5,3.7,5.3,0.0,0.0,5.8,393727,36.5,55.7,40.2,21.5,6.1,23.8,10.5,0.0,0.0,5.8
"가구소득별",2천만원~3천만원 미만,596755,66.2,56.4,43.7,42.0,37.5,23.1,20.9,3.4,1.1,5.6,596755,20.1,23.5,24.7,10.4,2.6,4.6,7.6,1.8,1.1,3.5,596755,38.6,48.8,36.7,25.3,15.7,15.0,10.8,2.4,1.1,5.6
"가구소득별",3천만원~4천만원 미만,636259,45.3,48.8,45.8,37.9,15.0,39.8,15.7,22.5,8.0,21.2,636259,15.7,24.6,12.3,9.8,3.3,19.0,2.5,4.1,5.4,3.3,636259,31.1,36.5,19.9,29.5,8.8,30.4,11.9,7.3,8.0,16.5
"가구소득별",4천만원~5천만원 미만,631656,37.4,31.7,53.5,35.9,28.4,37.3,27.8,24.5,13.9,9.4,631656,18.3,18.7,14.0,14.0,4.8,9.6,7.9,9.6,1.2,1.9,631656,32.2,29.0,32.1,23.0,13.3,22.7,17.9,20.4,2.6,6.7
"가구소득별",5천만원~6천만원 미만,605423,45.7,24.0,33.1,49.7,28.2,36.7,31.5,21.5,10.8,19.0,605423,11.0,7.5,12.7,22.1,2.4,8.9,11.7,11.0,2.9,9.6,605423,31.8,14.7,23.7,35.2,16.2,17.7,24.8,19.9,6.4,9.6
"가구소득별",6천만원~7천만원 미만,344075,56.5,7.8,23.1,52.1,68.9,18.5,32.5,20.1,14.4,6.1,344075,13.6,2.9,7.0,19.5,10.9,4.8,27.2,5.3,8.9,0.0,344075,34.9,5.8,20.6,37.0,33.9,9.7,29.7,13.9,14.4,0.0
"가구소득별",7천만원~1억원 미만,104872,53.7,18.5,66.9,40.8,12.2,26.8,30.4,15.8,15.0,20.0,104872,20.0,9.2,37.7,2.6,2.6,5.7,6.4,15.8,0.0,0.0,104872,25.8,18.5,37.7,18.7,9.0,17.6,22.1,15.8,15.0,20.0
"가구소득별",1억원~1억5천만원 미만,4072,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,4072,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4072,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
