"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),임신육아종합포털(아이사랑) (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%)
"직업별",판매 종사자,121783,15.2,15.2,0.0,37.9,17.3,0.0,51.9,11.3,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,183.7,121783,5.1,5.1,0.0,10.7,0.0,0.0,17.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2,121783,10.1,10.1,0.0,21.5,17.3,0.0,34.6,11.3,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,122.5
"직업별",기능원 및 관련 기능 종사자,107728,12.2,7.7,0.0,12.2,19.6,0.0,6.4,0.0,0.0,0.0,0.0,0.0,19.6,20.2,19.1,0.0,0.0,9.0,206.5,107728,4.1,7.7,0.0,4.1,4.1,0.0,0.0,0.0,0.0,0.0,11.5,6.4,7.5,0.0,9.0,62.0,107728,8.1,7.7,0.0,8.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,15.5,12.8,15.0,0.0,0.0,9.0,140.6
"직업별",장치·기계 조작 및 조립 종사자,14895,26.7,0.0,0.0,29.4,0.0,0.0,87.8,0.0,0.0,0.0,73.3,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,14895,26.7,0.0,0.0,29.4,0.0,0.0,43.9,0.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14895,26.7,0.0,0.0,29.4,0.0,0.0,43.9,0.0,0.0,73.3,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0
"직업별",단순 노무 종사자,77988,34.5,64.5,0.0,16.8,0.0,0.0,8.5,25.9,0.0,0.0,17.2,0.0,0.0,0.0,32.5,0.0,8.5,12.0,105.6,77988,8.5,21.5,0.0,8.2,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,10.8,0.0,12.0,21.7,77988,17.2,43.0,0.0,16.8,0.0,0.0,8.5,25.9,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,12.0,63.6
"직업별",학생,80162,26.7,61.8,0.0,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8,125.7,80162,26.7,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,41.9,80162,26.7,41.2,0.0,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,83.8
"직업별",전업주부,91680,109.7,0.0,0.0,22.3,7.4,21.7,15.1,0.0,7.5,0.0,41.2,7.2,0.0,6.9,0.0,0.0,0.0,20.4,71.3,91680,49.4,0.0,0.0,7.4,0.0,7.2,7.5,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,35.9,91680,79.5,0.0,0.0,14.9,0.0,14.5,15.1,0.0,0.0,26.5,7.2,0.0,6.9,0.0,0.0,0.0,10.2,50.1
"직업별",기타/무직,55759,0.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6,91.6,55759,0.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,45.5,55759,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1,83.7
"가구구성별",1인 가구,219034,21.7,16.7,0.0,24.2,9.1,0.0,12.2,9.4,0.0,0.0,6.0,0.0,6.0,9.2,20.9,0.0,6.0,28.7,160.1,219034,14.7,8.1,0.0,7.8,2.0,0.0,3.0,6.2,3.0,0.0,2.0,3.2,7.5,0.0,9.6,44.0,219034,16.7,12.4,0.0,19.1,4.0,0.0,6.0,9.4,0.0,3.0,0.0,4.0,9.2,15.1,0.0,3.0,19.1,101.2
"가구구성별",1세대 가구,213545,25.2,23.5,0.0,13.4,7.9,3.1,29.7,6.4,3.2,0.0,3.2,0.0,0.0,0.0,7.8,0.0,0.0,17.7,145.3,213545,13.1,7.8,0.0,7.6,7.9,3.1,11.0,3.2,0.0,0.0,0.0,0.0,7.8,0.0,8.9,38.7,213545,19.1,15.7,0.0,10.5,7.9,3.1,22.0,6.4,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,13.3,103.8
"가구구성별",2세대 가구,438790,68.9,21.9,11.8,9.6,28.0,3.0,22.3,8.0,0.0,2.2,13.6,4.7,1.8,5.0,0.0,3.8,0.0,18.5,111.2,438790,28.8,12.3,2.2,3.3,8.7,0.0,4.8,1.6,4.5,1.6,1.8,0.0,0.0,3.8,2.0,39.9,438790,48.3,16.1,7.0,5.7,24.1,1.5,15.9,3.1,2.2,10.5,4.7,1.8,1.6,0.0,3.8,0.0,10.2,77.3
